nrg_prc,nrg_cons,currency,geo\time	2018 	2017 	2016S2 	2015S2 	2014S2 	2013S2 	2012S2 	2011S2 	2010S2 	2009S2 	2008S2 	2007S2 
NETC,MWH20-499,EUR,SI	0.0388 	0.0383 	0.0377 	0.0374 	0.0382 	0.0388 	0.0395 	0.0371 	0.0368 	0.0353 	0.0422 	: 
NETC,MWH20-499,EUR,SK	0.0514 	0.0524 	0.0841 	0.0838 	0.0811 	0.0847 	0.0825 	0.0786 	0.0699 	0.0690 	0.0673 	0.0597 
NETC,MWH20-499,EUR,TR	0.0123 	0.0100 	0.0202 	0.0154 	0.0190 	0.0198 	0.0231 	0.0217 	0.0129 	0.0102 	0.0103 	: 
NETC,MWH20-499,EUR,UK	0.0315 	0.0339 	0.0285 	0.0357 	0.0380 	0.0330 	0.0364 	0.0323 	0.0264 	0.0257 	0.0259 	0.0323 
NETC,MWH20-499,EUR,XK	0.0175 	0.0182 	0.0342 	0.0349 	0.0282 	0.0196 	: 	: 	: 	: 	: 	: 
NETC,MWH20-499,NAT,AT	0.0454 	0.0439 	0.0409 	0.0386 	0.0382 	0.0414 	0.0395 	0.0386 	0.0390 	0.0406 	0.0307 	: 
NETC,MWH20-499,NAT,BA	0.0660 	0.0643 	0.0677 	0.0682 	: 	0.0669 	0.0682 	: 	: 	: 	: 	: 
NETC,MWH20-499,NAT,BE	0.0611 	0.0561 	0.0630 	0.0656 	0.0649 	0.0612 	0.0625 	0.0574 	0.0477 	0.0476 	0.0470 	0.0436 
NETC,MWH20-499,NAT,BG	0.0446 	0.0459 	0.0409 	0.0298 	0.0151 	0.0529 	0.0542 	0.0448 	0.0365 	0.0370 	0.0380 	0.0402 
NETC,MWH20-499,NAT,CY	0.0314 	0.0296 d	0.0355 	0.0350 	0.0350 	0.0351 	0.0348 	0.0350 	0.0345 	: 	: 	: 
NETC,MWH20-499,NAT,CZ	1.4681 	1.2835 	1.8070 	1.9239 	1.9719 	2.0983 	1.9985 	1.8870 	1.5870 	1.3200 	1.4100 	1.3400 
NETC,MWH20-499,NAT,DE	0.0541 	0.0557 	0.0492 	0.0458 	0.0419 	0.0437 	0.0361 	0.0366 	0.0350 	0.0355 	0.0349 	0.0375 
NETC,MWH20-499,NAT,DK	0.3015 	0.3051 	0.2347 	0.2113 	0.2140 	0.2362 	0.2254 	0.2176 	0.1964 	0.1952 	0.1779 	0.3023 
NETC,MWH20-499,NAT,EE	0.0395 	0.0414 	0.0429 	0.0432 	0.0435 	0.0446 	0.0315 	0.0351 	0.5300 	0.4800 	0.4700 	0.4570 
NETC,MWH20-499,NAT,EL	0.0248 	0.0300 	0.0265 	0.0259 	0.0340 	0.0241 	0.0281 	0.0281 	0.0328 	0.0303 	: 	: 
NETC,MWH20-499,NAT,ES	0.0261 d	0.0293 d	0.0332 	0.0314 	0.0307 	0.0254 	0.0667 	0.0486 	0.0461 	0.0444 	0.0359 	: 
NETC,MWH20-499,NAT,FI	0.0358 	0.0351 	0.0341 	0.0300 	0.0306 	0.0311 	0.0303 	0.0290 	0.0281 	0.0262 	0.0244 	0.0233 
NETC,MWH20-499,NAT,FR	0.0404 	0.0375 	0.0407 	0.0403 	0.0401 	0.0390 	0.0386 	: 	: 	: 	: 	: 
NETC,MWH20-499,NAT,GE	0.0670 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NETC,MWH20-499,NAT,HR	0.3625 	0.3618 	0.3597 	0.3553 	0.3570 	0.3552 	0.3560 	0.3160 	0.3100 	0.3100 	0.3100 	0.3000 
NETC,MWH20-499,NAT,HU	12.8798 	10.1269 	10.4245 	9.6612 	10.1461 	9.3535 	10.1486 	: 	8.7200 	9.9330 	12.3855 	11.4501 
NETC,MWH20-499,NAT,IE	0.0648 	0.0598 	0.0551 	0.0418 	0.0457 	0.0481 	0.0446 	0.0410 	0.0421 	0.0470 	0.0309 	: 
NETC,MWH20-499,NAT,IS	4.5042 	: 	4.4304 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NETC,MWH20-499,NAT,IT	0.0219 d	0.0217 d	0.0237 d	0.0287 	0.0289 	0.0263 	0.0308 	0.0339 	0.0290 	0.0263 	0.0244 	: 
NETC,MWH20-499,NAT,LT	0.0379 	0.0361 	0.0391 	0.0369 	0.1451 	0.1536 	0.2432 	0.2248 	0.2107 	0.1883 	0.2013 	0.1909 
NETC,MWH20-499,NAT,LU	0.0436 	0.0380 	0.0447 	0.0328 	0.0322 	0.0313 	0.0306 	0.0317 	0.0350 	0.0340 	0.0310 	0.0310 
NETC,MWH20-499,NAT,LV	0.0563 	0.0620 	0.0617 	0.0518 	0.0519 	0.0349 	0.0330 	0.0358 	0.0313 	0.0289 	0.0258 	0.0264 
NETC,MWH20-499,NAT,MD	0.5962 	0.4995 	0.5237 	0.4500 	: 	: 	: 	: 	: 	: 	: 	: 
NETC,MWH20-499,NAT,ME	0.0473 	: 	0.0509 	0.0502 	0.0508 	0.0525 	0.0473 	0.0541 	: 	: 	: 	: 
NETC,MWH20-499,NAT,MK	2.0562 	2.0244 	2.6835 	0.2613 	: 	: 	: 	: 	: 	: 	: 	: 
NETC,MWH20-499,NAT,MT	0.0240 	0.0250 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0094 
NETC,MWH20-499,NAT,NL	0.0234 	0.0247 	0.0266 	0.0295 	0.0315 	0.0271 	0.0296 	0.0272 	0.0254 	0.0252 	0.0227 	0.0279 
NETC,MWH20-499,NAT,NO	0.2670 	0.2660 	0.2810 	0.2720 	0.2670 	0.2663 	0.2660 	0.2670 	0.2660 	0.2420 	0.2350 	0.2250 
NETC,MWH20-499,NAT,PL	0.1869 	0.1937 	0.2075 	0.2172 	0.2163 	0.2093 	0.2026 	0.2006 	0.1920 	0.1801 	0.1759 	0.2444 
NETC,MWH20-499,NAT,PT	0.0402 	0.0462 	0.0545 	0.0527 	0.0559 	0.0411 	0.0383 	0.0330 	0.0313 	0.0354 	0.0261 	0.0208 
NETC,MWH20-499,NAT,RO	0.1580 	0.1576 	0.1672 	0.1748 	0.1927 	0.1953 	0.1814 	0.1809 	0.1881 	0.1819 	0.1789 	0.1652 
NETC,MWH20-499,NAT,RS	3.3318 	3.5893 	3.3880 	3.5216 	3.8412 	3.4872 	: 	: 	: 	: 	: 	: 
NETC,MWH20-499,NAT,SE	0.3939 	0.3973 	0.3663 	0.3337 	0.3169 	0.3179 	0.3328 	0.3450 	0.3160 	0.3130 	0.2870 	0.2730 
NETC,MWH20-499,NAT,SI	0.0388 	0.0383 	0.0377 	0.0374 	0.0382 	0.0388 	0.0395 	0.0371 	0.0368 	0.0353 	0.0422 	: 
NETC,MWH20-499,NAT,SK	0.0514 	0.0524 	0.0841 	0.0838 	0.0811 	0.0847 	0.0825 	0.0786 	0.0699 	0.0690 	2.0400 	2.0000 
NETC,MWH20-499,NAT,TR	0.0790 	0.0431 	0.0691 	0.0489 	0.0541 	0.0530 	0.0529 	0.0535 	0.0255 	0.0221 	0.0198 	: 
NETC,MWH20-499,NAT,UK	0.0280 	0.0303 	0.0245 	0.0257 	0.0301 	0.0280 	0.0291 	0.0280 	0.0223 	0.0228 	0.0212 	0.0224 
NETC,MWH20-499,NAT,XK	0.0175 	0.0182 	0.0342 	0.0349 	0.0282 	0.0196 	: 	: 	: 	: 	: 	: 
NETC,MWH20-499,PPS,AT	0.0409 	0.0404 	0.0383 	0.0355 	0.0346 	0.0370 	0.0358 	0.0349 	0.0354 	0.0362 	0.0281 	: 
NETC,MWH20-499,PPS,BA	0.0688 	0.0670 	0.0732 	0.0740 	: 	0.0702 	0.0723 	: 	: 	: 	: 	: 
NETC,MWH20-499,PPS,BE	0.0553 	0.0514 	0.0589 	0.0594 	0.0585 	0.0544 	0.0564 	0.0517 	0.0430 	0.0417 	0.0420 	0.0399 
NETC,MWH20-499,PPS,BG	0.0473 	0.0487 	0.0451 	0.0330 	0.0164 	0.0569 	0.0589 	0.0484 	0.0421 	0.0423 	0.0454 	0.0512 
NETC,MWH20-499,PPS,CY	0.0352 	0.0335 d	0.0401 	0.0384 	0.0398 	0.0393 	0.0383 	0.0380 	0.0389 	: 	: 	: 
NETC,MWH20-499,PPS,CZ	0.0815 	0.0727 	0.1054 	0.1103 	0.1117 	0.1183 	0.1131 	0.1063 	0.0868 	0.0714 	0.0772 	0.0780 
NETC,MWH20-499,PPS,DE	0.0505 	0.0526 	0.0475 	0.0439 	0.0402 	0.0416 	0.0349 	0.0352 	0.0335 	0.0330 	0.0336 	0.0366 
NETC,MWH20-499,PPS,DK	0.0303 	0.0307 	0.0235 	0.0218 	0.0213 	0.0235 	0.0224 	0.0216 	0.0193 	0.0187 	0.0173 	0.0298 
NETC,MWH20-499,PPS,EE	0.0522 	0.0565 	0.0602 	0.0596 	0.0583 	0.0612 	0.0560 	0.0505 	0.0500 	0.0438 	0.0423 	0.0430 
NETC,MWH20-499,PPS,EL	0.0301 	0.0366 	0.0317 	0.0324 	0.0410 	0.0282 	0.0314 	0.0303 	0.0357 	0.0327 	: 	: 
NETC,MWH20-499,PPS,ES	0.0289 d	0.0325 d	0.0371 	0.0351 	0.0343 	0.0282 	0.0737 	0.0521 	0.0491 	0.0471 	0.0389 	: 
NETC,MWH20-499,PPS,FI	0.0288 	0.0282 	0.0281 	0.0242 	0.0246 	0.0252 	0.0251 	0.0241 	0.0235 	0.0218 	0.0208 	0.0201 
NETC,MWH20-499,PPS,FR	0.0369 	0.0342 	0.0371 	0.0376 	0.0366 	0.0352 	0.0344 	: 	: 	: 	: 	: 
NETC,MWH20-499,PPS,HR	0.0756 	0.0754 	0.0760 	0.0738 	0.0738 	0.0738 	0.0738 	0.0631 	0.0604 	0.0605 	0.0632 	0.0634 
NETC,MWH20-499,PPS,HU	0.0675 	0.0551 	0.0596 	0.0552 	0.0581 	0.0546 	0.0603 	: 	0.0531 	0.0595 	0.0748 	0.0707 
NETC,MWH20-499,PPS,IE	0.0580 	0.0535 	0.0511 	0.0375 	0.0411 	0.0436 	0.0407 	0.0372 	0.0381 	0.0396 	0.0254 	: 
NETC,MWH20-499,PPS,IS	0.0231 	: 	0.0236 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NETC,MWH20-499,PPS,IT	0.0221 d	0.0221 d	0.0241 d	0.0285 	0.0288 	0.0261 	0.0307 	0.0333 	0.0284 	0.0254 	0.0242 	: 
NETC,MWH20-499,PPS,LT	0.0598 	0.0589 	0.0657 	0.0612 	0.0685 	0.0725 	0.1168 	0.1079 	0.1032 	0.0880 	0.0926 	0.0961 
NETC,MWH20-499,PPS,LU	0.0356 	0.0314 	0.0378 	0.0273 	0.0270 	0.0258 	0.0259 	0.0267 	0.0290 	0.0282 	0.0267 	0.0272 
NETC,MWH20-499,PPS,LV	0.0817 	0.0899 	0.0931 	0.0767 	0.0757 	0.0718 	0.0687 	0.0758 	0.0676 	0.0601 	0.0511 	0.0566 
NETC,MWH20-499,PPS,ME	0.0949 	: 	0.1055 	0.1040 	0.0989 	0.1046 	0.0963 	0.1102 	: 	: 	: 	: 
NETC,MWH20-499,PPS,MK	0.0760 	0.0763 	0.1045 	0.0104 	: 	: 	: 	: 	: 	: 	: 	: 
NETC,MWH20-499,PPS,MT	0.0284 	0.0301 	0.0274 	0.0274 	0.0274 	0.0282 	0.0287 	0.0291 	0.0301 	0.0302 	0.0307 	0.0313 
NETC,MWH20-499,PPS,NL	0.0209 	0.0220 	0.0246 	0.0272 	0.0288 	0.0248 	0.0270 	0.0247 	0.0228 	0.0225 	0.0211 	0.0264 
NETC,MWH20-499,PPS,NO	0.0191 	0.0193 	0.0217 	0.0217 	0.0213 	0.0218 	0.0227 	0.0224 	0.0225 	0.0203 	0.0210 	0.0208 
NETC,MWH20-499,PPS,PL	0.0756 	0.0783 	0.0878 	0.0903 	0.0893 	0.0868 	0.0840 	0.0828 	0.0805 	0.0727 	0.0740 	0.1076 
NETC,MWH20-499,PPS,PT	0.0494 	0.0580 	0.0697 	0.0676 	0.0719 	0.0527 	0.0481 	0.0402 	0.0378 	0.0420 	0.0314 	0.0256 
NETC,MWH20-499,PPS,RO	0.0678 	0.0676 	0.0767 	0.0793 	0.0843 	0.0886 	0.0854 	0.0858 	0.0902 	0.0864 	0.0875 	0.0886 
NETC,MWH20-499,PPS,RS	0.0575 	0.0635 	0.0626 	0.0655 	0.0675 	0.0634 	: 	: 	: 	: 	: 	: 
NETC,MWH20-499,PPS,SE	0.0315 	0.0322 	0.0306 	0.0278 	0.0267 	0.0273 	0.0287 	0.0294 	0.0268 	0.0264 	0.0256 	0.0249 
NETC,MWH20-499,PPS,SI	0.0470 	0.0464 	0.0481 	0.0468 	0.0478 	0.0482 	0.0488 	0.0444 	0.0438 	0.0412 	0.0520 	: 
NETC,MWH20-499,PPS,SK	0.0757 	0.0771 	0.1294 	0.1290 	0.1217 	0.1247 	0.1208 	0.1144 	0.1046 	0.1015 	0.0955 	0.0881 
NETC,MWH20-499,PPS,TR	0.0396 	0.0244 	0.0415 	0.0313 	0.0341 	0.0360 	0.0382 	0.0407 	0.0207 	0.0182 	0.0174 	: 
NETC,MWH20-499,PPS,UK	0.0286 	0.0318 	0.0266 	0.0279 	0.0321 	0.0303 	0.0318 	0.0302 	0.0246 	0.0261 	0.0254 	0.0282 
NETC,MWH2000-19999,EUR,AT	0.0242 	0.0226 	0.0205 	0.0186 	0.0186 	0.0200 	0.0188 	0.0186 	0.0187 	0.0197 	0.0115 	: 
NETC,MWH2000-19999,EUR,BA	0.0175 	0.0164 	0.0174 	0.0185 	: 	0.0197 	0.0199 	: 	: 	: 	: 	: 
NETC,MWH2000-19999,EUR,BE	0.0235 	0.0183 	0.0331 	0.0323 	0.0234 	0.0249 	0.0220 	0.0252 	0.0183 	0.0179 	0.0164 	0.0179 
NETC,MWH2000-19999,EUR,BG	0.0137 	0.0125 	0.0126 	0.0081 	0.0073 	0.0120 	0.0153 	0.0100 	0.0093 	0.0097 	0.0143 	0.0138 
NETC,MWH2000-19999,EUR,CY	0.0206 	0.0195 d	0.0232 	0.0232 	0.0237 	0.0235 	0.0231 	0.0219 	0.0213 	: 	: 	: 
NETC,MWH2000-19999,EUR,CZ	0.0203 	0.0198 	0.0302 	0.0359 	0.0347 	0.0439 	0.0375 	0.0354 	0.0273 	0.0260 	0.0255 	0.0223 
NETC,MWH2000-19999,EUR,DE	0.0292 	0.0324 	0.0279 	0.0244 	0.0226 	0.0223 	0.0197 	0.0203 	0.0189 	0.0190 	0.0178 	0.0203 
NETC,MWH2000-19999,EUR,DK	0.0218 	0.0262 	0.0253 	0.0224 	0.0235 	0.0245 	0.0238 	0.0232 	0.0212 	0.0225 	0.0179 	0.0349 
NETC,MWH2000-19999,EUR,EA	0.0205 	0.0221 	0.0209 	0.0198 	0.0192 	0.0188 	0.0184 	0.0193 	0.0181 	0.0181 	0.0167 	0.0183 
NETC,MWH2000-19999,EUR,EE	0.0238 	0.0265 	0.0288 	0.0294 	0.0303 	0.0317 	0.0369 	0.0265 	0.0236 	0.0198 	0.0179 	0.0169 
NETC,MWH2000-19999,EUR,EL	0.0085 	0.0200 	0.0091 	0.0091 	0.0095 	0.0099 	0.0114 	0.0116 	0.0142 	0.0113 	: 	: 
NETC,MWH2000-19999,EUR,ES	0.0120 d	0.0125 d	0.0143 	0.0138 	0.0143 	0.0129 	0.0191 	0.0178 	0.0171 	0.0178 	0.0169 	: 
NETC,MWH2000-19999,EUR,EU28	0.0207 	0.0224 	0.0211 	0.0210 	0.0213 	0.0208 	0.0198 	0.0198 	0.0187 	0.0185 	0.0182 	0.0220 
NETC,MWH2000-19999,EUR,FI	0.0201 	0.0192 	0.0180 	0.0158 	0.0162 	0.0163 	0.0163 	0.0162 	0.0159 	0.0150 	0.0140 	0.0134 
NETC,MWH2000-19999,EUR,FR	0.0182 	0.0205 	0.0162 	0.0161 	0.0162 	0.0151 	0.0144 	: 	: 	: 	: 	: 
NETC,MWH2000-19999,EUR,GE	0.0113 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NETC,MWH2000-19999,EUR,HR	0.0289 	0.0287 	0.0283 	0.0287 	0.0276 	0.0289 	0.0300 	0.0263 	0.0271 	0.0260 	0.0320 	0.0205 
NETC,MWH2000-19999,EUR,HU	0.0195 	0.0210 	0.0216 	0.0227 	0.0237 	0.0256 	0.0240 	: 	0.0206 	0.0231 	0.0216 	0.0185 
NETC,MWH2000-19999,EUR,IE	0.0223 	0.0207 	0.0214 	0.0180 	0.0212 	0.0260 	0.0253 	0.0099 	0.0189 	0.0229 	0.0273 	: 
NETC,MWH2000-19999,EUR,IS	0.0195 	: 	0.0200 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NETC,MWH2000-19999,EUR,IT	0.0138 d	0.0138 d	0.0142 d	0.0158 	0.0154 	0.0138 	0.0147 	0.0156 	0.0164 	0.0168 	0.0148 	: 
NETC,MWH2000-19999,EUR,LT	0.0226 	0.0228 	0.0242 	0.0222 	0.0359 	0.0312 	0.0584 	0.0531 	0.0482 	0.0292 	0.0332 	0.0317 
NETC,MWH2000-19999,EUR,LU	0.0250 	0.0222 	0.0167 	0.0128 	0.0128 	0.0135 	0.0138 	0.0132 	0.0140 	0.0146 	: 	: 
NETC,MWH2000-19999,EUR,LV	0.0272 	0.0367 	0.0373 	0.0328 	0.0318 	0.0329 	0.0335 	0.0327 	0.0271 	0.0255 	0.0173 	0.0172 
NETC,MWH2000-19999,EUR,MD	0.0313 	0.0205 	0.0223 	0.0208 	: 	: 	: 	: 	: 	: 	: 	: 
NETC,MWH2000-19999,EUR,ME	0.0174 	: 	0.0260 	0.0227 	0.0231 	0.0245 	0.0217 	0.0156 	: 	: 	: 	: 
NETC,MWH2000-19999,EUR,MK	0.0084 	0.0086 	0.0130 	0.0042 	: 	: 	: 	: 	: 	: 	: 	: 
NETC,MWH2000-19999,EUR,MT	0.0240 	0.0250 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0220 	0.0219 
NETC,MWH2000-19999,EUR,NL	0.0180 	0.0197 	0.0174 	0.0171 	0.0190 	0.0191 	0.0171 	0.0158 	0.0149 	0.0149 	0.0125 	0.0144 
NETC,MWH2000-19999,EUR,NO	0.0154 	0.0156 	0.0170 	0.0163 	0.0176 	0.0183 	0.0200 	0.0191 	0.0184 	0.0157 	0.0147 	0.0158 
NETC,MWH2000-19999,EUR,PL	0.0171 	0.0187 	0.0209 	0.0220 	0.0213 	0.0198 	0.0208 	0.0182 	0.0211 	0.0197 	0.0233 	0.0322 
NETC,MWH2000-19999,EUR,PT	0.0249 	0.0274 	0.0320 	0.0330 	0.0328 	0.0353 	0.0273 	0.0278 	0.0172 	0.0169 	0.0151 	0.0012 
NETC,MWH2000-19999,EUR,RO	0.0211 	0.0221 	0.0244 	0.0268 	0.0277 	0.0247 	0.0205 	0.0208 	0.0225 	0.0216 	0.0265 	0.0215 
NETC,MWH2000-19999,EUR,RS	0.0137 	0.0153 	0.0128 	0.0138 	0.0153 	0.0138 	: 	: 	: 	: 	: 	: 
NETC,MWH2000-19999,EUR,SE	0.0164 	0.0201 	0.0190 	0.0178 	0.0173 	0.0188 	0.0188 	0.0174 	0.0159 	0.0136 	0.0133 	0.0130 
NETC,MWH2000-19999,EUR,SI	0.0152 	0.0149 	0.0150 	0.0148 	0.0156 	0.0159 	0.0165 	0.0154 	0.0147 	0.0122 	0.0169 	: 
NETC,MWH2000-19999,EUR,SK	0.0292 	0.0318 	0.0585 	0.0541 	0.0549 	0.0576 	0.0540 	0.0578 	0.0464 	0.0457 	0.0438 	0.0373 
NETC,MWH2000-19999,EUR,TR	0.0082 	0.0059 	0.0118 	0.0103 	0.0143 	0.0131 	0.0134 	0.0155 	0.0087 	0.0063 	0.0080 	: 
NETC,MWH2000-19999,EUR,UK	0.0265 	0.0285 	0.0213 	0.0268 	0.0347 	0.0307 	0.0251 	0.0213 	0.0196 	0.0199 	0.0224 	0.0323 
NETC,MWH2000-19999,EUR,XK	0.0175 	0.0179 	0.0079 	0.0090 	0.0071 	0.0031 	: 	: 	: 	: 	: 	: 
NETC,MWH2000-19999,NAT,AT	0.0242 	0.0226 	0.0205 	0.0186 	0.0186 	0.0200 	0.0188 	0.0186 	0.0187 	0.0197 	0.0115 	: 
NETC,MWH2000-19999,NAT,BA	0.0342 	0.0321 	0.0341 	0.0362 	: 	0.0387 	0.0391 	: 	: 	: 	: 	: 
NETC,MWH2000-19999,NAT,BE	0.0235 	0.0183 	0.0331 	0.0323 	0.0234 	0.0249 	0.0220 	0.0252 	0.0183 	0.0179 	0.0164 	0.0179 
NETC,MWH2000-19999,NAT,BG	0.0268 	0.0245 	0.0246 	0.0159 	0.0142 	0.0234 	0.0299 	0.0195 	0.0182 	0.0190 	0.0280 	0.0269 
NETC,MWH2000-19999,NAT,CY	0.0206 	0.0195 d	0.0232 	0.0232 	0.0237 	0.0235 	0.0231 	0.0219 	0.0213 	: 	: 	: 
NETC,MWH2000-19999,NAT,CZ	0.5223 	0.5128 	0.8150 	0.9711 	0.9572 	1.1539 	0.9434 	0.8799 	0.6790 	0.6700 	0.6300 	0.6100 
NETC,MWH2000-19999,NAT,DE	0.0292 	0.0324 	0.0279 	0.0244 	0.0226 	0.0223 	0.0197 	0.0203 	0.0189 	0.0190 	0.0178 	0.0203 
NETC,MWH2000-19999,NAT,DK	0.1626 	0.1953 	0.1886 	0.1671 	0.1751 	0.1824 	0.1775 	0.1730 	0.1583 	0.1674 	0.1333 	0.2602 
